Date,Money,key_rate,IPC,diff_of_costs,usd,euro,crude_oil
2018-04-01,15667,7.25,102.4,101531,62.320202,75.291100,75.169998
2018-05-01,16071,7.25,102.41,102519,62.097000,72.468102,77.589996
2018-06-01,15452,7.25,102.29,102707,62.833900,72.676003,79.440002
2018-07-01,15423,7.25,102.5,102952,62.206402,72.851997,74.250000
2018-08-01,17073,7.25,103.06,103742,68.202698,79.610001,77.419998
2018-09-01,17223,7.25,106.38,103935,65.579803,76.130997,82.720001
2018-10-01,16382,7.5,103.54,104206,65.472000,74.286003,75.470001
2018-11-01,19675,7.5,103.83,105498,66.069702,75.307999,58.709999
2018-12-01,21920,7.5,104.26,107859,69.521202,79.499702,52.279999
2019-01-01,22495,7.75,104.99,108463,65.414398,75.153999,61.889999
2019-02-01,12951,7.75,105.22,110130,65.725800,74.817001,66.029999
2019-03-01,15499,7.75,105.25,111621,65.543900,73.737000,68.389999
2019-04-01,15551,7.75,105.17,112526,64.431801,72.110001,72.800003
2019-05-01,16758,7.75,105.13,113209,65.213898,72.650002,64.489998
2019-06-01,13696,7.75,105.1,113364,63.057400,71.735001,66.550003
2019-07-01,14823,7.5,104.7,114405,63.490799,70.879997,65.169998
2019-08-01,14591,7.25,104.6,115942,66.491501,73.558998,60.430000
2019-09-01,15730,7.25,104.3,116584,65.514702,72.417000,60.779999
2019-10-01,14738,7,104.0,117192,63.750801,71.112900,60.230000
2019-11-01,16292,6.5,103.8,117894,64.056198,70.869202,62.430000
2019-12-01,17489,6.5,103.5,118750,61.971100,69.455299,68.379997
2020-01-01,25239,6.25,103.0,119283,63.196098,69.726402,58.160000
2020-02-01,13569,6.25,102.4,120698,66.269096,73.595200,50.520000
2020-03-01,19888,6,102.3,123028,79.589203,87.816803,22.740000
2020-04-01,21567,6,102.5,129533,73.065399,79.510300,25.270000
2020-05-01,12215,5.5,103.0,130262,70.504898,77.937302,35.330002
2020-06-01,13323,5.5,103.2,130015,69.973000,78.912300,41.150002
2020-07-01,18193,4.5,103.37,131886,73.321503,87.084297,43.299999
2020-08-01,22665,4.25,103.58,133021,74.130203,88.016899,45.099998
2020-09-01,24811,4.25,103.67,135235,78.965103,92.757500,40.950001
2020-10-01,32338,4.25,103.99,141553,78.838303,92.094101,37.459999
2020-11-01,35379,4.25,104.42,145309,75.991501,90.861603,47.590000
2020-12-01,32164,4.25,104.91,149973,74.522003,91.471497,51.340000
2021-01-01,37418,4.25,105.0,154098,75.919998,92.013199,55.880001
