Date,data_cb,yand,mortg,google,offer
2018-02-01,9751,56664,391,93,0
2018-03-01,13192,61502,321,102,4
2018-04-01,15667,54610,263,51,3
2018-05-01,16071,50477,289,54,2
2018-06-01,15452,52834,325,82,0
2018-07-01,15423,65525,311,118,4
2018-08-01,17073,73075,396,98,2
2018-09-01,17223,68945,319,212,0
2018-10-01,16382,71719,363,193,2
2018-11-01,19675,65702,307,122,0
2018-12-01,21920,53274,167,44,1
2019-01-01,22495,77840,345,48,0
2019-02-01,12951,70086,325,84,0
2019-03-01,15499,69530,432,62,1
2019-04-01,15551,61271,326,98,0
2019-05-01,16758,63342,274,45,2
2019-06-01,13696,66977,326,81,0
2019-07-01,14823,81818,402,106,4
2019-08-01,14591,88347,436,85,2
2019-09-01,15730,89440,334,120,43
2019-10-01,14738,100114,494,153,88
2019-11-01,16292,98803,586,97,20
2019-12-01,17489,86024,434,92,3
2020-01-01,25239,119994,646,33,11
2020-02-01,13569,114857,592,51,4
2020-03-01,19888,106895,527,80,4
2020-04-01,21567,83274,648,79,8
2020-05-01,12215,105443,816,55,35
2020-06-01,13323,113505,871,59,9
2020-07-01,18193,149150,1049,99,13
2020-08-01,22665,190389,1229,60,18
2020-09-01,24811,196210,1222,142,18
2020-10-01,32338,244999,1331,110,29
2020-11-01,35379,234617,1220,114,96
2020-12-01,32164,197571,0,0,0
2021-01-01,37418,255716,0,0,0

