Date,Money
2017-10-01,10794
2017-11-01,12970
2017-12-01,14487
2018-01-01,18740
2018-02-01,9751
2018-03-01,13192
2018-04-01,15667
2018-05-01,16071
2018-06-01,15452
2018-07-01,15423
2018-08-01,17073
2018-09-01,17223
2018-10-01,16382
2018-11-01,19675
2018-12-01,21920
2019-01-01,22495
2019-02-01,12951
2019-03-01,15499
2019-04-01,15551
2019-05-01,16758
2019-06-01,13696
2019-07-01,14823
2019-08-01,14591
2019-09-01,15730
2019-10-01,14738
2019-11-01,16292
2019-12-01,17489
2020-01-01,25239
2020-02-01,13569
2020-03-01,19888
2020-04-01,21567
2020-05-01,12215
2020-06-01,13323
2020-07-01,18193
2020-08-01,22665
2020-09-01,24811
2020-10-01,32338
2020-11-01,35379
2020-12-01,32164
2021-01-01,37418
