Date,Money,key_rate,IPC,diff_of_costs,usd,euro,crude_oil,second_market,first_market,yand,mortg,google
2018-02-01,0,0,0,0,56.2192,68.7945,0,0,0,0,0,0
2018-03-01,0,0,0,0,57.3220,70.2281,0,0,0,0,0,0
2018-04-01,15667,7.25,102.4,101531,62.320202,75.291100,75.169998,113064,96999,56664,391,11
2018-05-01,16071,7.25,102.41,102519,62.097000,72.468102,77.589996,114670,98750,61502,321,124
2018-06-01,15452,7.25,102.29,102707,62.833900,72.676003,79.440002,112290,99952,54610,263,93
2018-07-01,15423,7.25,102.5,102952,62.206402,72.851997,74.250000,114469,103901,50477,289,102
2018-08-01,17073,7.25,103.06,103742,68.202698,79.610001,77.419998,115577,101608,52834,325,51
2018-09-01,17223,7.25,106.38,103935,65.579803,76.130997,82.720001,117617,102927,65525,311,54
2018-10-01,16382,7.5,103.54,104206,65.472000,74.286003,75.470001,115392,101161,73075,396,82
2018-11-01,19675,7.5,103.83,105498,66.069702,75.307999,58.709999,116015,104253,68945,319,118
2018-12-01,21920,7.5,104.26,107859,69.521202,79.499702,52.279999,117675,107008,71719,363,98
2019-01-01,22495,7.75,104.99,108463,65.414398,75.153999,61.889999,121318,110339,65702,307,212
2019-02-01,12951,7.75,105.22,110130,65.725800,74.817001,66.029999,124046,108482,53274,167,193
2019-03-01,15499,7.75,105.25,111621,65.543900,73.737000,68.389999,127719,110974,77840,345,122
2019-04-01,15551,7.75,105.17,112526,64.431801,72.110001,72.800003,126211,115539,70086,325,44
2019-05-01,16758,7.75,105.13,113209,65.213898,72.650002,64.489998,134488,113327,69530,432,48
2019-06-01,13696,7.75,105.1,113364,63.057400,71.735001,66.550003,125245,112359,61271,326,84
2019-07-01,14823,7.5,104.7,114405,63.490799,70.879997,65.169998,125815,115953,63342,274,62
2019-08-01,14591,7.25,104.6,115942,66.491501,73.558998,60.430000,126564,119195,66977,326,98
2019-09-01,15730,7.25,104.3,116584,65.514702,72.417000,60.779999,135948,118197,81818,402,45
2019-10-01,14738,7,104.0,117192,63.750801,71.112900,60.230000,135524,123527,88347,436,81
2019-11-01,16292,6.5,103.8,117894,64.056198,70.869202,62.430000,124740,117233,89440,334,106
2019-12-01,17489,6.5,103.5,118750,61.971100,69.455299,68.379997,127611,119172,100114,494,85
2020-01-01,25239,6.25,103.0,119283,63.196098,69.726402,58.160000,130054,119891,98803,586,120
2020-02-01,13569,6.25,102.4,120698,66.269096,73.595200,50.520000,137169,125970,86024,434,153
2020-03-01,19888,6,102.3,123028,79.589203,87.816803,22.740000,138012,123944,119994,646,97
2020-04-01,21567,6,102.5,129533,73.065399,79.510300,25.270000,143129,125891,114857,592,92
2020-05-01,12215,5.5,103.0,130262,70.504898,77.937302,35.330002,138733,129540,106895,527,33
2020-06-01,13323,5.5,103.2,130015,69.973000,78.912300,41.150002,137813,135670,83337,648,51
2020-07-01,18193,4.5,103.37,131886,73.321503,87.084297,43.299999,140445,129682,105443,816,80
2020-08-01,22665,4.25,103.58,133021,74.130203,88.016899,45.099998,132237,135624,113505,871,79
2020-09-01,24811,4.25,103.67,135235,78.965103,92.757500,40.950001,144293,143676,149150,1049,55
2020-10-01,32338,4.25,103.99,141553,78.838303,92.094101,37.459999,146168,148763,190389,1229,59
2020-11-01,35379,4.25,104.42,145309,75.991501,90.861603,47.590000,147087,149711,196210,1222,99
2020-12-01,32164,4.25,104.91,149973,74.522003,91.471497,51.340000,151550,153293,244999,1331,60
2021-01-01,37418,4.25,,154098,75.919998,92.013199,55.880001,160000,162000,234617,1220,142
