Date,Money,usd_5,yand
2018-06-01,15452,56.3178,54610
2018-07-01,15423,56.2192,50477
2018-08-01,17073,57.322,52834
2018-09-01,17223,62.320202,65525
2018-10-01,16382,62.097,73075
2018-11-01,19675,62.8339,68945
2018-12-01,21920,62.206402000000004,71719
2019-01-01,22495,68.202698,65702
2019-02-01,12951,65.579803,53274
2019-03-01,15499,65.472,77840
2019-04-01,15551,66.069702,70086
2019-05-01,16758,69.521202,69530
2019-06-01,13696,65.41439799999999,61271
2019-07-01,14823,65.7258,63342
2019-08-01,14591,65.5439,66977
2019-09-01,15730,64.43180100000001,81818
2019-10-01,14738,65.213898,88347
2019-11-01,16292,63.0574,89440
2019-12-01,17489,63.490798999999996,100114
2020-01-01,25239,66.491501,98803
2020-02-01,13569,65.514702,86024
2020-03-01,19888,63.750801,119994
2020-04-01,21567,64.056198,114857
2020-05-01,12215,61.9711,106895
2020-06-01,13323,63.196098,83337
2020-07-01,18193,66.26909599999999,105443
2020-08-01,22665,79.589203,113505
2020-09-01,24811,73.065399,149150
2020-10-01,32338,70.504898,190389
2020-11-01,35379,69.973,196210
2020-12-01,32164,73.321503,244999
2021-01-01,37418,74.13020300000001,234617
