Date,Money,key_rate_4,IPC_0,diff_of_costs_6,usd_5,euro_0,crude_oil_5,yand,mortg
2018-04-01,15667,8.25,102.4,100052,58.5967,75.291100,63.57,56664,391
2018-05-01,16071,7.75,102.41,100519,57.6270,72.468102,66.60,61502,321
2018-06-01,15452,7.75,102.29,100645,56.3178,72.676003,69.050003,54610,263
2018-07-01,15423,7.5,102.5,100903,56.2192,72.851997,65.779999,50477,289
2018-08-01,17073,7.25,103.06,101274,57.3220,79.610001,70.269997,52834,325
2018-09-01,17223,7.25,106.38,101388,62.320202,76.130997,75.169998,65525,311
2018-10-01,16382,7.25,103.54,101531,62.097000,74.286003,77.589996,73075,396
2018-11-01,19675,7.25,103.83,102519,62.833900,75.307999,79.440002,68945,319
2018-12-01,21920,7.25,104.26,102707,62.206402,79.499702,74.250000,71719,363
2019-01-01,22495,7.25,104.99,102952,68.202698,75.153999,77.419998,65702,307
2019-02-01,12951,7.5,105.22,103742,65.579803,74.817001,82.720001,53274,167
2019-03-01,15499,7.5,105.25,103935,65.472000,73.737000,75.470001,77840,345
2019-04-01,15551,7.5,105.17,104206,66.069702,72.110001,58.709999,70086,325
2019-05-01,16758,7.75,105.13,105498,69.521202,72.650002,52.279999,69530,432
2019-06-01,13696,7.75,105.1,107859,65.414398,71.735001,61.889999,61271,326
2019-07-01,14823,7.75,104.7,108463,65.725800,70.879997,66.029999,63342,274
2019-08-01,14591,7.75,104.6,110130,65.543900,73.558998,68.389999,66977,326
2019-09-01,15730,7.75,104.3,111621,64.431801,72.417000,72.800003,81818,402
2019-10-01,14738,7.75,104.0,112526,65.213898,71.112900,64.489998,88347,436
2019-11-01,16292,7.5,103.8,113209,63.057400,70.869202,66.550003,89440,334
2019-12-01,17489,7.25,103.5,113364,63.490799,69.455299,65.169998,100114,494
2020-01-01,25239,7.25,103.0,114405,66.491501,69.726402,60.430000,98803,586
2020-02-01,13569,7,102.4,115942,65.514702,73.595200,60.779999,86024,434
2020-03-01,19888,6.5,102.3,116584,63.750801,87.816803,60.230000,119994,646
2020-04-01,21567,6.5,102.5,117192,64.056198,79.510300,62.430000,114857,592
2020-05-01,12215,6.25,103.0,117894,61.971100,77.937302,68.379997,106895,527
2020-06-01,13323,6.25,103.2,118750,63.196098,78.912300,58.160000,83337,648
2020-07-01,18193,6,103.37,119283,66.269096,87.084297,50.520000,105443,816
2020-08-01,22665,6,103.58,120698,79.589203,88.016899,22.740000,113505,871
2020-09-01,24811,5.5,103.67,123028,73.065399,92.757500,25.270000,149150,1049
2020-10-01,32338,5.5,103.99,129533,70.504898,92.094101,35.330002,190389,1229
2020-11-01,35379,4.5,104.42,130262,69.973000,90.861603,41.150002,196210,1222
2020-12-01,32164,4.25,104.91,130015,73.321503,91.471497,43.299999,244999,1331
2021-01-01,37418,4.25,105.0,131886,74.130203,92.013199,45.099998,234617,1220
